Recettes,Ingrédients
"Asperges blanches, pommes de terre.html","['130 g asperge(s) blanche(s)', '120 g pomme(s) de terre', '1 c. à café huile(s) végétale(s)']"
Aubergines façon « baba ganoush ».html,"['½  aubergine(s)', '½  citron(s)', '½ gousse ail', '1 c. à café huile de sésame', ""1 c. à café huile d'olive""]"
"Avocat au citron, pommes de terre et endives braisées au saumon.html","['100 g endive(s)', '60 g pomme(s) de terre', '½  avocat(s)', '½  citron(s)', '20 g saumon', ""1 c. à soupe huile d'olive""]"
Betterave et chou vert farçi aux légumes.html,"['60 g betterave(s)', '50 g chou vert', '25 g patate(s) douce(s)', '25 g carotte(s)', '25 g poireau(x)', '¼  oignon(s)', '1 c. à café huile(s) végétale(s)', ' pincée bicarbonate de soude alimentaire']"
Betterave et pomme à la semoule.html,"['100 g betterave(s)', '½  pomme(s)', '50 g semoule de couscous', '1 c. à café huile(s) végétale(s)']"
Biscuits apéritifs maïs combava.html,"['50 g farine de maïs', '2 c. à soupe huile d’olive', '20 mL eau', '  zeste de combava']"
Blanc de poireau à la semoule et filet de merlan.html,"['150 g poireau(x)', '25 g semoule de couscous', '1 c. à café huile(s) végétale(s)', '  persil', '20 g merlan']"
Blancs de poireau à la semoule.html,"['150 g poireau(x)', '25 g semoule de couscous', '1 c. à café huile(s) végétale(s)', '  persil']"
Blanquette de cabillaud (mouliné).html,"['20 g riz', '20 g cabillaud', '80 g carotte(s)', '80 g champignons', '1 c. à soupe crème']"
Blanquette de cabillaud.html,"['20 g riz', '20 g cabillaud', '100 g carotte(s)', '80 g champignons', '1 c. à soupe crème']"
Blanquette de dinde.html,"['20 g riz', '20 g dinde', '100 g carotte(s)', '80 g champignons', '¼  oignon(s)', '1 c. à café crème fraîche', '1 pincée thym']"
Blanquette de veau.html,"['120 g carotte(s)', '70 g champignons de Paris', '20 g riz', '20 g veau', '½  oignon(s)', '1 c. à café crème', '½ gousse ail', ""1 c. à café huile d'olive"", 'quelques feuilles persil']"
Blinis au sarrasin et mousse de betterave.html,"['150 g yaourt grec', '100 g farine de sarrasin', '1  oeuf(s)', '1 c. à soupe huile(s) végétale(s)', '1 c. à café poudre à lever', '  aneth', '100 g betterave(s)', '80 g mascarpone']"
Blinis express (trop facile !).html,"['30 g farine', '1 c. à café huile(s) végétale(s)', '50 mL lait']"
Blinis épinards et sarrasin.html,"[""30 g pousses d'épinards"", '30 g farine de sarrasin', '50 mL eau', '1 c. à café huile d’olive']"
Boeuf en sauce façon parmentier à la patate douce.html,"['130 g patate(s) douce(s)', '20 g boeuf', '25 g coulis de tomates', '25 g céleri-branche', '¼  oignon(s)', '1 pincée thym', '1 c. à café huile(s) végétale(s)', '  fromage râpé']"
Boeuf et purée de lentilles corail et carottes au cumin.html,"['25 g lentilles corail', '200 g carotte(s)', '20 g boeuf', '1 c. à café huile(s) végétale(s)', '1 pincée cumin']"
Bolognaise végétarienne au chou-fleur.html,"['100 g chou-fleur', '20 g pâtes', '20 g lentilles corail', '50 mL coulis de tomates', '½  oignon(s)', '1 pincée origan', '100 mL eau', ""1 c. à café huile d'olive""]"
Bonbons réunionnais aux brèdes.html,"['200 g pois du cap', '40 g feuilles de brèdes triées', '1 c. à soupe  fécule de maïs', '1 c. à café curcuma', '1 c. à café cumin', '1 bout gingembre frais', '1 c. à soupe huile d’olive']"
Borani aux épinards et tortilla.html,"['1  oeuf(s)', '100 g pomme(s) de terre', '75 g épinard', '1  petit-suisse', '1 pincée(s) ail', '1 pincée(s) herbes aromatiques', '  citron(s)']"
Bouchées aux épinards et au jambon.html,"[""100 g pousses d'épinards"", '100 g pomme(s) de terre', '2 c. à soupe farine', '1 c. à café huile(s) végétale(s)', '10 g jambon blanc']"
Bouchées de haricots verts et ciboulette.html,"['200 g haricots verts', ""60 g flocons d'avoine"", '½ gousse(s) ail', '5 brin(s) ciboulette']"
Bouchées de haricots verts à la ciboulette.html,"['200 g haricots verts', ""50 g flocons d'avoine"", '1 c. à café huile(s) végétale(s)', '  ciboulette']"
Bouchées de navet et patate douce au saumon.html,"['90 g navet(s)', '90 g patate(s) douce(s)', '2 c. à soupe fécule de maïs', '10 g saumon', '1 c. à café huile(s) végétale(s)', '  persil']"
Bouchées de navet et patate douce.html,"['90 g navet(s)', '90 g patate(s) douce(s)', '2 c. à soupe fécule de maïs', '1 c. à café huile(s) végétale(s)', '  persil']"
Bouchées de patate douce et betterave.html,"['80 g patate douce', '70 g betterave', '1 c. à soupe farine', '1 c. à café huile d’olive']"
Bouchées fondantes de butternut au sarrasin.html,"['170 g butternut', '30 g farine de sarrasin', '1 c. à soupe fécule de maïs', ""1 c. à café huile d'olive""]"
Bouchées fondantes de patate douce et crème d’endives au jambon.html,"['100 g patate(s) douce(s)', '100 g endive(s)', '40 g farine', '10 g jambon blanc', '1 c. à café huile(s) végétale(s)', '1 c. à café crème fraîche', '1 pincée paprika']"
Bouchées fondantes de patate douce et crème d’endives.html,"['100 g patate(s) douce(s)', '100 g endive(s)', '40 g farine', '1 c. à café huile(s) végétale(s)', '1 c. à café crème fraîche', '1 pincée(s) paprika', '  persil']"
Bouchées fondantes à l’aubergine.html,"['100 g pomme(s) de terre', '60 g farine', '50 g aubergine(s)', '1 c. à café huile(s) végétale(s)', '1 pincée(s) origan']"
Bouchées à la betterave rouge.html,"['150 g betterave(s)', '1 c. à soupe fécule de maïs', '2 c. à soupe farine', '1 c. à café poudre à lever']"
Bouchées à la carotte et aux pommes de terre.html,"['100 g carotte(s)', '100 g pomme(s) de terre', '1  échalote(s)', '1 c. à soupe  farine', '  huile d’olive', '5 brin(s) ciboulette']"
Bouchées à la courgette.html,"['100 g courgette(s)', '50 g pomme(s) de terre', '1  oeuf(s)', '1 c. à soupe crème fraîche', '1 c. à soupe farine', '1 filet huile d’olive', '1 c. à café poudre à lever', '  romarin']"
Bouchées à la patate douce et betterave.html,"['100 g patate(s) douce(s)', ""60 g farine d'épeautre"", '60 mL lait', '50 g betterave(s)', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '  persil']"
"Bouchées à la patate douce, betterave et boeuf.html","['100 g patate(s) douce(s)', ""60 g farine d'épeautre"", '60 mL lait', '50 g betterave(s)', '10 g boeuf haché', '1 c. à café huile(s) végétale(s)', '1 c. à café poudre à lever', '  persil']"
Bouillon chinois au poulet et vermicelles.html,"['10 g vermicelles de riz', '20 g poulet', '40 g chou chinois', '40 g poireau(x)', '30 g carotte(s)', '30 g champignons', '20 g petits pois', '1 bout gingembre frais', '1 pincée coriandre', '1 c. à café huile(s) végétale(s)']"
"Boulettes aux carottes, brocolis et colin.html","['50 g pomme(s) de terre', '50 g carotte(s)', '50 g brocoli', '10 g colin', '1 c. à café herbes de Provence', '  chapelure']"
Boulettes aux haricots rouges et à la sauce tomate.html,"['120 g haricots rouges', '50 g pulpe de tomates', ""30 g flocons d'avoine"", '¼  oignon(s)', '1 pincée(s) ail semoule', '  poivre', '  basilic']"
Boulettes aux légumes d’été.html,"['100 g courgette(s)', '100 g aubergine(s)', '100 g poivron(s) rouge(s)', '100 g farine', '50 g pulpe de tomates', '1 c. à soupe huile d’olive', '  basilic', '1 c. à café paprika']"
Boulettes aux légumes et jambon.html,"[""50 g flocons d'avoine"", '60 g carotte(s)', '60 g navet(s)', '10 g oignon(s)', '1 pincée graines', '1 pincée herbes aromatiques', ""1 c. à café huile d'olive"", '15 g jambon blanc']"
Boulettes aux pommes de terre et navets.html,"['90 g navet(s)', '90 g pomme(s) de terre', '1 c. à soupe farine', '  chapelure', '  huile d’olive', '5 brin(s) ciboulette']"
Boulettes courgette aubergine.html,"['150 g courgette(s)', '60 g farine', '50 g aubergine(s)', '2 c. à soupe huile(s) végétale(s)', '1 pincée(s) origan', '  chapelure']"
Boulettes de boeuf moelleuses.html,"['100 g boeuf haché', '¼  oignon(s)', '  cumin', '25 g farine', '25 mL lait', '  huile d’olive']"
Boulettes de brocoli à l’avoine.html,"['300 g brocoli', '100 g flocons d’avoine', '  coriandre', '  huile d’olive', '  chapelure']"
Boulettes de cabillaud et millet.html,"['100 g cabillaud', '30 g millet', '¼  oignon(s)', '  coriandre', '  huile d’olive']"
Boulettes de courgette et flocons d’avoine.html,"['100 g courgette(s)', ""80 g flocons d'avoine"", '1  oeuf(s)', '½ c. à café  curry', '  huile d’olive', '  farine ']"
Boulettes de courgette petits pois feta et menthe.html,"['100 g petits pois', '50 g courgette(s)', '50 g farine', '10 g feta', '  menthe', '  chapelure']"
"Boulettes de lotte aux légumes, avocat​.html","['20 g lotte', '20 g courgette(s)', '20 g poivron(s)', '1  avocat(s)', '  herbes aromatiques', '  chapelure']"
Boulettes de légumes et tranches d’avocat.html,"['½  avocat(s)', '30 g carotte(s)', '30 g pomme(s) de terre', '1 c. à soupe fécule de maïs', '  herbes aromatiques', '  chapelure', '  huile(s) végétale(s)']"
