Recettes,Ingrédients
Abricot en morceaux.html,['1  abricot(s)']
Baby cheesecake à la vanille.html,"['50 g dattes medjhoul', ""20 g poudre d'amandes"", '20 g flocons d’avoine', '4  petit-suisse', '1  oeuf(s)', '½ gousse(s) vanille']"
Banana bread.html,"['4  banane(s)', '150 g farine', '100 g compote de pommes', '3  oeuf(s)', ""110 g poudre d'amandes"", '½ sachet(s) poudre à lever']"
Banane fantôme (pour Halloween).html,"['1  banane', '1 carré(s) chocolat noir']"
Banane mixée à la myrtille.html,"['1  banane(s)', '30 g myrtilles']"
Banane pour bébé.html,['1  banane(s)']
Barquettes aux framboises (sans sucre).html,"['150 g compote de pommes', '100 g farine', '2  oeuf(s)', '50 g framboises', '1 c. à café poudre à lever', '1 pincée(s) vanille en poudre']"
Barquettes aux fruits.html,"['1  oeuf(s)', '85 g farine', '85 g fromage blanc', '30 g cassonade', '1 c. à café poudre à lever', '1 pincée(s) vanille', '25 g framboises', '25 g fraises', '50 g mangue']"
Barres de céréales.html,"[""200 g flocons d'avoine"", '1  banane(s)', '100 g compote de pommes', '100 g raisins secs', ""2 c. à soupe purée d'amandes""]"
Biscuit à la cuillère vanillé.html,"['50 g farine', '1  oeuf(s)', '10 g huile(s) végétale(s)', '10 g sucre', '1 c. à café fécule de maïs', '¼ c. à café poudre à lever', '½ gousse(s) vanille']"
Biscuits fondants façon « carrot cake ».html,"['50 g carotte(s)', '50 g compote de pommes', ""25 g flocons d'avoine"", '25 g noisettes en poudre', '1 pincée(s) cannelle']"
Biscuits pomme noisettes.html,"['80 g farine', '50 g noisettes en poudre', '50 g jus de pommes', '25 g huile(s) végétale(s)']"
Bonbons banane (sans friture).html,"['2  banane(s)', '1  oeuf(s)', '40 g farine', '1 c. à soupe huile(s) végétale(s)', '  vanille']"
Bouillie aux céréales infantiles.html,"['150 mL eau', '5 mesurettes lait infantile', '3 c. à soupe céréales infantiles']"
Bouza tunisienne (crème de noisettes).html,"['50 g purée de noisettes', '1 c. à soupe fécule de maïs', '250 mL lait']"
Bowl cake à la poire et aux noix de pécan.html,"['1   oeuf(s)', '1  poire(s)', ""30 g flocons d'avoine"", ""15 g poudre d'amandes "", '2 g poudre à lever', '15 g noix de pécan ', '1 pincée(s) vanille en poudre']"
Bûche de Noël poire noisette.html,"['4  oeuf(s)', '125 g farine', '125 g sucre', '3 g poudre à lever', '1 pincée vanille en poudre', '200 g compote pomme poire', '100 g purée de noisettes', '50 mL lait', '100 mL crème liquide', '60 g mascarpone', '1 pincée vanille en poudre']"
Cake ananas noix de coco.html,"['150 g compote pomme ananas', '80 g farine', '2  oeuf(s)', '25 g noix de coco râpée', '1 c. à café poudre à lever']"
"Cake au citron, avoine et amandes.html","['150 g yaourt grec', '3  oeuf(s)', '90 g sirop de dattes', '2  citron(s)', ""130 g farine d'avoine"", ""130 g poudre d'amandes"", '1 c. à café bicarbonate de soude alimentaire']"
Cake aux cerises.html,"['100 g cerises', '100 g compote de pommes', '50 g farine', '1  oeuf(s)', ""25 g poudre d'amandes"", '20 g huile(s) végétale(s)', '1 c. à café poudre à lever']"
Cake aux kakis.html,"['2  kaki(s)', ""150 g farine d'épeautre"", '100 g yaourt', '60 mL huile(s) végétale(s)', ""50 g poudre d'amandes"", '40 mL lait', '5  dattes', '2 c. à café poudre à lever', '½ c. à café bicarbonate de soude alimentaire', '2 pincée(s) cannelle']"
Cake banane noix de pécan.html,"['2  banane(s)', '250 g farine', '150 mL lait', '100 g fromage blanc', '2  oeuf(s)', ""50 g poudre d'amandes"", '50 g noix de pécan', '50 g beurre', '30 g huile de tournesol', '1 sachet(s) poudre à lever', '1 pincée vanille en poudre']"
